country,year,result,result_change,,result_rescaled,result_rescaled_change
Afghanistan ,2015,52.22451375,0,,9.69539674,0
Afghanistan ,2016,51.41051169,0.81400206,,9.457233996,0.238162744
Afghanistan ,2017,51.8857013,-0.47518961,,9.596266152,-0.139032156
Afghanistan ,2018,51.94647481,-0.06077351,,9.614047416,-0.017781264
Albania ,2015,27.32295813,0,,2.409637773,0
Albania ,2016,27.17541473,0.1475434,,2.366469159,0.043168614
Albania ,2017,26.54725099,0.62816374,,2.182679453,0.183789707
Albania ,2018,26.31159379,0.2356572,,2.113730284,0.068949169
Algeria ,2015,31.51137685,0,,3.635095721,0
Algeria ,2016,33.21874847,-1.70737162,,4.134642749,-0.499547027
Algeria ,2017,33.78450391,-0.56575544,,4.30017288,-0.165530131
Algeria ,2018,34.2571794,-0.47267549,,4.438469448,-0.138296568
Angola ,2015,33.70300617,0,,4.276328069,0
Angola ,2016,28.28474022,5.41826595,,2.691038365,1.585289704
Angola ,2017,35.07434276,-6.78960254,,4.677557133,-1.986518768
Angola ,2018,29.09174455,5.98259821,,2.927153696,1.750403437
Argentina ,2015,35.41735453,0,,4.777916368,0
Argentina ,2016,34.74663787,0.67071666,,4.581676423,0.196239946
Argentina ,2017,34.03516267,0.7114752,,4.373511242,0.20816518
Argentina ,2018,34.44970838,-0.41454571,,4.494800055,-0.121288813
Armenia ,2015,20.21380419,0,,0.329623864,0
Armenia ,2016,20.43314609,-0.2193419,,0.393799462,-0.064175598
Armenia ,2017,20.17619078,0.25695531,,0.318618839,0.075180623
Armenia ,2018,19.90877509,0.26741569,,0.240377693,0.078241146
Australia ,2015,35.937179,0,,4.930007902,0
Australia ,2016,35.91298913,0.02418987,,4.92293037,0.007077532
Australia ,2017,36.19646926,-0.28348013,,5.00587169,-0.08294132
Australia ,2018,36.27148179,-0.07501253,,5.027819042,-0.021947352
Azerbaijan ,2015,28.31491399,0,,2.699866682,0
Azerbaijan ,2016,28.15011954,0.16479445,,2.651650712,0.048215969
Azerbaijan ,2017,27.64462858,0.50549096,,2.503752912,0.1478978
Azerbaijan ,2018,22.51027796,5.13435062,,1.001531861,1.502221051
Bahrain ,2015,20.33823557,0,,0.366030306,0
Bahrain ,2016,20.24621921,0.09201636,,0.339107931,0.026922375
Bahrain ,2017,20.61597546,-0.36975625,,0.447292133,-0.108184202
Bahrain ,2018,21.23449364,-0.61851818,,0.628259717,-0.180967585
Bangladesh ,2015,36.2416067,0,,5.019078114,0
Bangladesh ,2016,40.72643679,-4.48483009,,6.331260837,-1.312182722
Bangladesh ,2017,40.31976416,0.40667263,,6.212275549,0.118985288
Bangladesh ,2018,35.70118808,4.61857608,,4.860961093,1.351314456
Belarus ,2015,20.16540981,0,,0.315464516,0
Belarus ,2016,20.62264778,-0.45723797,,0.449244336,-0.13377982
Belarus ,2017,20.24166739,0.38098039,,0.337776148,0.111468188
Belarus ,2018,20.11901084,0.12265655,,0.30188899,0.035887158
Benin ,2015,34.85895297,0,,4.614537853,0
Benin ,2016,34.80137196,0.05758101,,4.597690658,0.016847195
Benin ,2017,35.49165386,-0.6902819,,4.799655051,-0.201964392
Benin ,2018,35.67714278,-0.18548892,,4.853925859,-0.054270809
Bhutan ,2015,22.94755788,0,,1.129472306,0
Bhutan ,2016,22.67286105,0.27469683,,1.049100825,0.080371481
Bhutan ,2017,20.98378735,1.6890737,,0.554907448,0.494193377
Bhutan ,2018,22.35305455,-1.3692672,,0.955531045,-0.400623597
Bolivia ,2015,35.03113611,0,,4.664915624,0
Bolivia ,2016,34.98649731,0.0446388,,4.651855093,0.013060531
Bolivia ,2017,33.28137216,1.70512515,,4.152965343,0.49888975
Bolivia ,2018,32.60884707,0.67252509,,3.956196283,0.196769061
Bosnia and Herzegovina ,2015,21.4071016,0,,0.678761783,0
Bosnia and Herzegovina ,2016,20.7750897,0.6320119,,0.493846172,0.184915611
Bosnia and Herzegovina ,2017,21.54302026,-0.76793056,,0.718529202,-0.22468303
Bosnia and Herzegovina ,2018,21.42169319,0.12132707,,0.683031026,0.035498175
Botswana ,2015,25.96033741,0,,2.01095882,0
Botswana ,2016,24.03920093,1.92113648,,1.448867939,0.562090881
Botswana ,2017,23.85777712,0.18142381,,1.395786511,0.053081429
Botswana ,2018,23.84693968,0.01083744,,1.392615665,0.003170845
Brazil ,2015,39.27588222,0,,5.906853979,0
Brazil ,2016,38.68591817,0.58996405,,5.734240833,0.172613146
Brazil ,2017,44.69628255,-6.01036438,,7.492768165,-1.758527332
Brazil ,2018,46.0212119,-1.32492935,,7.880419284,-0.387651119
Burkina Faso ,2015,38.90597769,0,,5.798626393,0
Burkina Faso ,2016,39.97883807,-1.07286038,,6.112526547,-0.313900154
Burkina Faso ,2017,39.02504231,0.95379576,,5.833462616,0.279063931
Burkina Faso ,2018,44.44689833,-5.42185602,,7.419802711,-1.586340095
Burundi ,2016,37.95839994,0,,5.521381743,0
Burundi ,2017,40.02414011,-2.06574017,,6.12578113,-0.604399388
Burundi ,2018,37.75809715,2.26604296,,5.462776655,0.663004475
Cambodia ,2015,36.88675181,0,,5.207836272,0
Cambodia ,2016,36.58207369,0.30467812,,5.118692792,0.089143481
Cambodia ,2017,37.22121897,-0.63914528,,5.305695504,-0.187002713
Cambodia ,2018,35.80836777,1.4128512,,4.892319993,0.413375512
Cameroon ,2015,43.83578643,0,,7.241002074,0
Cameroon ,2016,41.40678001,2.42900642,,6.530317345,0.710684729
Cameroon ,2017,43.5245834,-2.11780339,,7.149949519,-0.619632174
Cameroon ,2018,46.49354095,-2.96895755,,8.01861449,-0.868664971
Canada ,2015,34.89026148,0,,4.623698175,0
Canada ,2016,34.19045664,0.69980484,,4.418947537,0.204750637
Canada ,2017,33.91888552,0.27157112,,4.339490585,0.079456953
Canada ,2018,34.34709571,-0.42821019,,4.464777385,-0.125286801
Chile ,2015,34.54204624,0,,4.521816495,0
Chile ,2016,33.94484965,0.59719659,,4.347087235,0.174729261
Chile ,2017,33.46347609,0.48137356,,4.206245763,0.140841471
Chile ,2018,33.09256765,0.37090844,,4.097724451,0.108521312
China ,2015,25.59610209,0,,1.904389946,0
China ,2016,25.86566669,-0.2695646,,1.983259826,-0.07886988
China ,2017,25.12071967,0.74494702,,1.765301377,0.217958449
China ,2018,24.97143451,0.14928516,,1.721623155,0.043678223
Colombia ,2016,41.53048116,0,,6.566510135,0
Colombia ,2017,37.07959282,4.45088834,,5.264258174,1.302251961
Colombia ,2018,39.45054377,-2.37095095,,5.957956889,-0.693698715
Comoros ,2015,28.63458988,0,,2.793398247,0
Comoros ,2016,28.92903745,-0.29444757,,2.879548448,-0.086150201
Comoros ,2017,29.06049478,-0.13145733,,2.91801056,-0.038462112
Comoros ,2018,28.78021341,0.28028137,,2.836005141,0.082005419
Congo ,2015,30.90183871,0,,3.456755539,0
Congo ,2016,35.2295424,-4.32770369,,4.722965829,-1.26621029
Congo ,2017,31.83169805,3.39784435,,3.728816093,0.994149736
Congo ,2018,30.7361297,1.09556835,,3.408271985,0.320544108
Costa Rica ,2015,30.62356086,0,,3.375336315,0
Costa Rica ,2016,29.75581964,0.86774122,,3.121450434,0.25388588
Costa Rica ,2017,30.35572677,-0.59990713,,3.296972752,-0.175522317
Costa Rica ,2018,30.04333565,0.31239112,,3.205572582,0.091400169
Cote D'Ivoire ,2015,35.4340989,0,,4.782815477,0
Cote D'Ivoire ,2016,41.28452366,-5.85042476,,6.494547279,-1.711731801
Cote D'Ivoire ,2017,36.07812786,5.2063958,,4.971247069,1.523300209
Cote D'Ivoire ,2018,35.89488183,0.18324603,,4.917632491,0.053614578
Dominican Republic ,2015,29.34887879,0,,3.00238667,0
Dominican Republic ,2016,28.63163393,0.71724486,,2.792533388,0.209853282
Dominican Republic ,2017,29.35593861,-0.72430468,,3.00445225,-0.211918861
Dominican Republic ,2018,28.98495455,0.37098406,,2.895908812,0.108543437
Ecuador ,2015,33.18789879,0,,4.125616673,0
Ecuador ,2016,32.511429,0.67646979,,3.927693462,0.197923211
Ecuador ,2017,32.85778235,-0.34635335,,4.029030385,-0.101336923
Ecuador ,2018,33.11156328,-0.25378093,,4.10328224,-0.074251855
Egypt ,2016,35.62758166,0,,4.839425144,0
Egypt ,2017,41.63283268,-6.00525102,,6.596456396,-1.757031253
Egypt ,2018,40.53048187,1.10235081,,6.27392786,0.322528537
El Salvador ,2015,34.69193767,0,,4.565672102,0
El Salvador ,2016,34.33467534,0.35726233,,4.461143403,0.104528699
El Salvador ,2017,34.02802244,0.3066529,,4.371422136,0.089721267
El Salvador ,2018,33.37713128,0.65089116,,4.180982784,0.190439352
Ethiopia ,2015,44.58014762,0,,7.458789119,0
Ethiopia ,2016,47.38018731,-2.80003969,,8.278031683,-0.819242564
Ethiopia ,2017,46.48898098,0.89120633,,8.017280322,0.260751361
Ethiopia ,2018,46.47704612,0.01193486,,8.013788391,0.003491931
Gabon ,2015,26.33490048,0,,2.120549413,0
Gabon ,2016,28.48911276,-2.15421228,,2.75083419,-0.630284777
Gabon ,2017,29.24067524,-0.75156248,,2.970728207,-0.219894016
Gabon ,2018,28.60431377,0.63636147,,2.784539988,0.186188219
Gambia ,2015,28.99966623,0,,2.900213192,0
Gambia ,2016,28.13460589,0.86506034,,2.64711169,0.253101502
Gambia ,2017,30.71637331,-2.58176742,,3.402491612,-0.755379921
Gambia ,2018,31.03967955,-0.32330624,,3.497085354,-0.094593742
Georgia ,2015,23.07856091,0,,1.167801497,0
Georgia ,2016,22.41193821,0.6666227,,0.972759373,0.195042125
Georgia ,2017,22.85175099,-0.43981278,,1.101440888,-0.128681515
Georgia ,2018,22.28858168,0.56316931,,0.936667413,0.164773475
Ghana ,2015,40.3939929,0,,6.233993578,0
Ghana ,2016,39.89321198,0.50078092,,6.087473853,0.146519725
Ghana ,2017,40.18306598,-0.289854,,6.172280056,-0.084806203
Ghana ,2018,39.89428774,0.28877824,,6.087788602,0.084491454
Guatemala ,2015,37.82192716,0,,5.481452198,0
Guatemala ,2016,37.38288713,0.43904003,,5.352996776,0.128455422
Guatemala ,2017,37.23336533,0.1495218,,5.309249317,0.043747459
Guatemala ,2018,36.9782822,0.25508313,,5.234616461,0.074632855
Guinea ,2015,34.80265694,0,,4.598066621,0
Guinea ,2016,36.4576485,-1.65499156,,5.082288161,-0.484221539
Guinea ,2017,35.85450696,0.60314154,,4.905819511,0.176468649
Guinea ,2018,35.50665079,0.34785617,,4.80404289,0.101776622
Guyana ,2015,23.10793022,0,,1.176394443,0
Guyana ,2016,22.77589782,0.3320324,,1.079247579,0.097146864
Guyana ,2017,22.08352453,0.69237329,,0.876671283,0.202576296
Guyana ,2018,22.28774314,-0.20421861,,0.936422071,-0.059750788
Haiti ,2015,31.44384547,0,,3.615337222,0
Haiti ,2016,33.67065607,-2.2268106,,4.266862996,-0.651525774
Haiti ,2017,35.00326335,-1.33260728,,4.656760543,-0.389897546
Haiti ,2018,33.33166502,1.67159833,,4.167680153,0.489080389
Honduras ,2015,36.44504167,0,,5.078599623,0
Honduras ,2016,36.92379182,-0.47875015,,5.21867353,-0.140073907
Honduras ,2017,36.3412025,0.58258932,,5.048218101,0.17045543
Honduras ,2018,35.20060216,1.14060034,,4.714498422,0.333719679
India ,2015,44.19348779,0,,7.345659226,0
India ,2016,44.5134706,-0.31998281,,7.439280591,-0.093621365
India ,2017,44.05089391,0.46257669,,7.303938754,0.135341836
India ,2018,44.01503418,0.03585973,,7.293446825,0.010491929
Indonesia ,2015,39.74747939,0,,6.04483505,0
Indonesia ,2016,37.63489672,2.11258267,,5.426730368,0.618104682
Indonesia ,2017,38.76043665,-1.12553993,,5.756043635,-0.329313267
Indonesia ,2018,42.25154966,-3.49111301,,6.777482146,-1.021438512
Iran ,2015,24.46776702,0,,1.57425887,0
Iran ,2016,28.9232509,-4.45548388,,2.877855405,-1.303596535
Iran ,2017,28.78038508,0.14286582,,2.836055369,0.041800036
Iran ,2018,29.57267744,-0.79229236,,3.067866235,-0.231810866
Iraq ,2015,48.40149137,0,,8.57684736,0
Iraq ,2016,48.33722349,0.06426788,,8.558043704,0.018803656
Iraq ,2017,48.40839434,-0.07117085,,8.578867048,-0.020823344
Iraq ,2018,45.90646577,2.50192857,,7.846846576,0.732020473
Israel ,2015,24.44300335,0,,1.567013454,0
Israel ,2016,25.03176979,-0.58876644,,1.739276201,-0.172262747
Israel ,2017,25.50848933,-0.47671954,,1.878755987,-0.139479787
Israel ,2018,29.51344978,-4.00496045,,3.050537259,-1.171781272
Jamaica ,2015,28.60964532,0,,2.786099906,0
Jamaica ,2016,28.23256402,0.3770813,,2.675772523,0.110327383
Jamaica ,2017,28.19100704,0.04155698,,2.663613679,0.012158844
Jamaica ,2018,27.8665483,0.32445874,,2.568682735,0.094930944
Japan ,2015,36.81436881,0,,5.186658274,0
Japan ,2016,37.38345798,-0.56908917,,5.353163797,-0.166505522
Japan ,2017,37.86392096,-0.48046298,,5.493738848,-0.140575052
Japan ,2018,38.18023567,-0.31631471,,5.586286991,-0.092548143
Jordan ,2015,26.01612784,0,,2.027282123,0
Jordan ,2016,30.29997159,-4.28384375,,3.280659763,-1.25337764
Jordan ,2017,26.12706861,4.17290298,,2.059741449,1.220918314
Jordan ,2018,25.58473582,0.54233279,,1.901064375,0.158677074
Kazakhstan ,2015,25.21383251,0,,1.792544563,0
Kazakhstan ,2016,25.85432335,-0.64049084,,1.979940963,-0.1873964
Kazakhstan ,2017,24.73306307,1.12126028,,1.651879847,0.328061116
Kazakhstan ,2018,23.47911697,1.2539461,,1.284997184,0.366882663
Kenya ,2015,41.10402528,0,,6.441736614,0
Kenya ,2016,40.18656666,0.91745862,,6.173304294,0.268432321
Kenya ,2017,40.04180782,0.14475884,,6.130950393,0.042353901
Kenya ,2018,39.47284241,0.56896541,,5.964481081,0.166469312
Korea Rep. ,2015,35.4602655,0,,4.790471366,0
Korea Rep. ,2016,35.17894346,0.28132204,,4.708161465,0.082309901
Korea Rep. ,2017,35.14528642,0.03365704,,4.698314005,0.00984746
Korea Rep. ,2018,34.69022198,0.45506444,,4.565170121,0.133143884
Kuwait ,2015,21.32685743,0,,0.655283744,0
Kuwait ,2016,21.483634,-0.15677657,,0.701153822,-0.045870078
Kuwait ,2017,21.06999872,0.41363528,,0.580131385,0.121022437
Kuwait ,2018,19.41162143,1.65837729,,0.09491924,0.485212145
Kyrgyz Republic ,2015,31.37147671,0,,3.594163391,0
Kyrgyz Republic ,2016,30.6506447,0.72083201,,3.383260572,0.210902819
Kyrgyz Republic ,2017,26.16506781,4.48557689,,2.070859349,1.312401223
Kyrgyz Republic ,2018,27.52084057,-1.35577276,,2.467534709,-0.39667536
Lao PDR ,2015,25.80854581,0,,1.966547257,0
Lao PDR ,2016,26.24359377,-0.43504796,,2.093834669,-0.127287412
Lao PDR ,2017,25.06850874,1.17508503,,1.750025374,0.343809295
Lao PDR ,2018,24.84732364,0.2211851,,1.685310488,0.064714886
Lebanon ,2015,33.51348113,0,,4.220876362,0
Lebanon ,2016,31.52438996,1.98909117,,3.638903129,0.581973233
Lebanon ,2017,33.24996863,-1.72557867,,4.143777221,-0.504874091
Lebanon ,2018,27.14057393,6.1093947,,2.356275351,1.787501869
Lesotho ,2015,26.97052776,0,,2.306522821,0
Lesotho ,2016,26.93565335,0.03487441,,2.296319179,0.010203641
Lesotho ,2017,26.33078003,0.60487332,,2.119343842,0.176975338
Lesotho ,2018,26.31197007,0.01880996,,2.113840377,0.005503465
Libya ,2017,34.14309716,0,,4.405090983,0
Libya ,2018,34.86563049,-0.72253333,,4.616491579,-0.211400596
Madagascar ,2015,42.57963156,0,,6.873473163,0
Madagascar ,2016,41.49411208,1.08551948,,6.555869179,0.317603984
