country,year,result,result_change,,result_rescaled,result_rescaled_change
Madagascar ,2017,41.36967978,0.1244323,,6.519462468,0.036406711
Madagascar ,2018,41.42645291,-0.05677313,,6.536073291,-0.016610823
Malawi ,2015,40.33272482,0,,6.216067611,0
Malawi ,2016,40.36266191,-0.02993709,,6.224826679,-0.008759068
Malawi ,2017,41.1489977,-0.78633579,,6.454894757,-0.230068078
Malawi ,2018,40.40161128,0.74738642,,6.236222582,0.218672174
Malaysia ,2015,32.2813832,0,,3.860386091,0
Malaysia ,2016,31.76884602,0.51253718,,3.71042669,0.149959401
Malaysia ,2017,31.2621284,0.50671762,,3.562169991,0.148256699
Malaysia ,2018,30.87719823,0.38493017,,3.449546166,0.112623825
Mali ,2017,47.37636613,0,,8.276913673,0
Mali ,2018,47.35108071,0.02528542,,8.269515602,0.007398071
Mauritania ,2015,27.55890133,0,,2.478670621,0
Mauritania ,2016,26.80163996,0.75726137,,2.257109209,0.221561412
Mauritania ,2017,26.74123529,0.06040467,,2.239435861,0.017673348
Mauritania ,2018,25.61618572,1.12504957,,1.910266064,0.329169796
Mauritius ,2015,22.99284532,0,,1.142722617,0
Mauritius ,2016,20.93897435,2.05387097,,0.54179595,0.600926668
Mauritius ,2017,23.72892397,-2.78994962,,1.358086336,-0.816290386
Mauritius ,2018,23.34944698,0.37947699,,1.247058016,0.11102832
Mexico ,2015,49.69938532,0,,8.956588395,0
Mexico ,2016,48.86519727,0.83418805,,8.712519584,0.244068811
Mexico ,2017,49.15027953,-0.28508226,,8.795929659,-0.083410075
Mexico ,2018,49.12853971,0.02173982,,8.789568969,0.006360691
Moldova ,2015,24.46512678,0,,1.573486382,0
Moldova ,2016,24.15866005,0.30646673,,1.483819585,0.089666797
Moldova ,2017,24.08522473,0.07343532,,1.462333697,0.021485888
Moldova ,2018,24.32292065,-0.23769592,,1.531879359,-0.069545662
Mongolia ,2015,28.90139421,0,,2.871460521,0
Mongolia ,2016,25.58537835,3.31601586,,1.901252368,0.970208153
Mongolia ,2017,30.24115728,-4.65577893,,3.263451726,-1.362199358
Mongolia ,2018,29.48997656,0.75118072,,3.043669406,0.21978232
Montenegro ,2015,22.45418897,0,,0.985121205,0
Montenegro ,2016,20.24100405,2.21318492,,0.337582066,0.647539139
Montenegro ,2017,21.45808722,-1.21708317,,0.693679282,-0.356097216
Montenegro ,2018,21.13436656,0.32372066,,0.598964288,0.094714994
Morocco ,2015,28.14772667,0,,2.650950601,0
Morocco ,2016,27.94860531,0.19912136,,2.592691179,0.058259422
Morocco ,2017,28.17906635,-0.23046104,,2.660120042,-0.067428863
Morocco ,2018,28.12614798,0.05291837,,2.644637054,0.015482988
Mozambique ,2015,43.34452012,0,,7.097266157,0
Mozambique ,2016,48.4322704,-5.08775028,,8.585852765,-1.488586608
Mozambique ,2017,44.47528307,3.95698733,,7.428107588,1.157745177
Mozambique ,2018,49.27088515,-4.79560208,,8.831216751,-1.403109163
Myanmar ,2015,45.68252738,0,,7.781326126,0
Myanmar ,2016,43.69764558,1.9848818,,7.200584481,0.580741645
Myanmar ,2017,47.72996345,-4.03231787,,8.380370054,-1.179785573
Myanmar ,2018,42.41143912,5.31852433,,6.824263002,1.556107053
Namibia ,2015,28.01545916,0,,2.612251444,0
Namibia ,2016,26.84486592,1.17059324,,2.269756368,0.342495076
Namibia ,2017,25.21258184,1.63228408,,1.792178639,0.477577729
Namibia ,2018,24.93742187,0.27515997,,1.711671652,0.080506987
Nepal ,2015,38.49586284,0,,5.678633972,0
Nepal ,2016,37.99911307,0.49674977,,5.533293691,0.145340281
Nepal ,2017,38.30125374,-0.30214067,,5.621694759,-0.088401067
Nepal ,2018,37.98412857,0.31712517,,5.528909489,0.09278527
New Zealand ,2015,21.90773027,0,,0.825236962,0
New Zealand ,2016,24.11144602,-2.20371575,,1.470005587,-0.644768625
New Zealand ,2017,24.3277791,-0.21633308,,1.533300857,-0.06329527
New Zealand ,2018,24.24103569,0.08674341,,1.507921255,0.025379602
Nicaragua ,2015,33.36984232,0,,4.178850162,0
Nicaragua ,2016,32.24390915,1.12593317,,3.84942184,0.329428322
Nicaragua ,2017,31.83802461,0.40588454,,3.730667134,0.118754706
Nicaragua ,2018,35.68065227,-3.84262766,,4.854952675,-1.124285541
Niger ,2015,47.28710738,0,,8.250798126,0
Niger ,2016,43.90253156,3.38457582,,7.26053053,0.990267596
Niger ,2017,46.28814638,-2.38561482,,7.958519636,-0.697989107
Niger ,2018,49.35165982,-3.06351344,,8.854850004,-0.896330368
Nigeria ,2015,50.8941368,0,,9.306151749,0
Nigeria ,2016,53.26559884,-2.37146204,,10,-0.693848251
Nigeria ,2017,52.6695761,0.59602274,,9.825614187,0.174385813
Nigeria ,2018,51.47743349,1.19214261,,9.476814142,0.348800045
Norway ,2015,24.72453308,0,,1.649384121,0
Norway ,2016,21.93179591,2.79273717,,0.832278147,0.817105975
Norway ,2017,25.02374359,-3.09194768,,1.736927875,-0.904649729
Norway ,2018,22.2986836,2.72505999,,0.939623058,0.797304817
Oman ,2015,20.49522024,0,,0.41196127,0
Oman ,2016,23.16076042,-2.66554018,,1.191851634,-0.779890364
Oman ,2017,23.01092389,0.14983653,,1.14801209,0.043839544
Oman ,2018,23.27579263,-0.26486874,,1.225508044,-0.077495954
Pakistan ,2015,47.86162157,0,,8.418890914,0
Pakistan ,2016,44.83622468,3.02539689,,7.533712781,0.885178133
Pakistan ,2017,44.76103379,0.07519089,,7.511713243,0.021999537
Pakistan ,2018,41.49300691,3.26802688,,6.555545825,0.956167418
Panama ,2015,29.58959331,0,,3.072815522,0
Panama ,2016,29.4129405,0.17665281,,3.021130004,0.051685518
Panama ,2017,30.59845665,-1.18551615,,3.367991263,-0.346861258
Panama ,2018,30.66639455,-0.0679379,,3.387868702,-0.019877439
Papua New Guinea ,2015,34.63011538,0,,4.547583983,0
Papua New Guinea ,2016,33.78236301,0.84775237,,4.29954649,0.248037493
Papua New Guinea ,2017,34.17814342,-0.39578041,,4.415344905,-0.115798415
Papua New Guinea ,2018,35.63390617,-1.45576275,,4.841275585,-0.42593068
Paraguay ,2015,34.11005117,0,,4.395422305,0
Paraguay ,2016,34.04815045,0.06190072,,4.377311239,0.018111066
Paraguay ,2017,33.52742792,0.52072253,,4.224956948,0.152354291
Paraguay ,2018,32.19550826,1.33191966,,3.835260588,0.389696361
Peru ,2015,35.70318985,0,,4.861546776,0
Peru ,2016,35.10983268,0.59335717,,4.687940862,0.173605914
Peru ,2017,34.09442352,1.01540916,,4.390849929,0.297090933
Peru ,2018,33.81379487,0.28062865,,4.308742902,0.082107027
Philippines ,2015,47.60195622,0,,8.342917381,0
Philippines ,2016,48.10707514,-0.50511892,,8.490706329,-0.147788948
Philippines ,2017,51.50525264,-3.3981775,,9.484953538,-0.99424721
Philippines ,2018,48.02488191,3.48037073,,8.46665803,1.018295509
Qatar ,2015,19.93886752,0,,0.24918221,0
Qatar ,2016,20.4789417,-0.54007418,,0.407198455,-0.158016244
Qatar ,2017,20.80298473,-0.32404303,,0.502007769,-0.094809314
Qatar ,2018,19.08720269,1.71578204,,0,0.502007769
Russian Federation ,2015,31.63321338,0,,3.670742956,0
Russian Federation ,2016,31.94635814,-0.31314476,,3.762363627,-0.091620671
Russian Federation ,2017,31.18637209,0.75998605,,3.540005022,0.222358605
Russian Federation ,2018,30.69134144,0.49503065,,3.395167725,0.144837297
Rwanda ,2015,35.18091736,0,,4.708738994,0
Rwanda ,2016,41.22181357,-6.04089621,,6.476199405,-1.767460411
Rwanda ,2017,35.96223614,5.25957743,,4.937339182,1.538860222
Rwanda ,2018,40.4371828,-4.47494666,,6.246630186,-1.309291004
Saudi Arabia ,2015,23.03566069,0,,1.155249644,0
Saudi Arabia ,2016,22.97513015,0.06053054,,1.137539469,0.017710176
Saudi Arabia ,2017,21.34218011,1.63295004,,0.659766892,0.477772577
Saudi Arabia ,2018,21.28097581,0.0612043,,0.641859586,0.017907306
Senegal ,2015,37.5456527,0,,5.400619131,0
Senegal ,2016,37.98203065,-0.43637795,,5.528295675,-0.127676544
Senegal ,2017,37.37731122,0.60471943,,5.351365362,0.176930312
Senegal ,2018,37.26882068,0.10849054,,5.319622931,0.031742432
Serbia ,2015,28.28088077,0,,2.689909158,0
Serbia ,2016,28.40674765,-0.12586688,,2.726735602,-0.036826444
Serbia ,2017,28.39513199,0.01161566,,2.723337063,0.003398539
Serbia ,2018,28.51289798,-0.11776599,,2.757793329,-0.034456266
Sierra Leone ,2015,35.57580285,0,,4.824275571,0
Sierra Leone ,2016,36.4995656,-0.92376275,,5.09455237,-0.270276799
Sierra Leone ,2017,38.22870833,-1.72914273,,5.600469243,-0.505916873
Sierra Leone ,2018,38.21897028,0.00973805,,5.59762006,0.002849183
Singapore ,2015,22.61240869,0,,1.031413523,0
Singapore ,2016,21.37419675,1.23821194,,0.6691344,0.362279124
Singapore ,2017,21.19679558,0.17740117,,0.617229925,0.051904475
Singapore ,2018,20.99613528,0.2006603,,0.558520236,0.058709689
Solomon Islands ,2015,32.6539245,0,,3.969385149,0
Solomon Islands ,2016,32.93144055,-0.27751605,,4.050581484,-0.081196335
Solomon Islands ,2017,33.36356799,-0.43212744,,4.177014403,-0.126432919
Solomon Islands ,2018,32.58240354,0.78116445,,3.948459369,0.228555034
South Africa ,2015,31.41626959,0,,3.607269003,0
South Africa ,2016,31.02102594,0.39524365,,3.491627634,0.115641368
South Africa ,2017,30.95010841,0.07091753,,3.470878407,0.020749227
South Africa ,2018,30.88971943,0.06038898,,3.45320965,0.017668758
Sri Lanka ,2015,28.09074756,0,,2.634279511,0
Sri Lanka ,2016,28.24960651,-0.15885895,,2.680758857,-0.046479346
Sri Lanka ,2017,28.87027355,-0.62066704,,2.862355161,-0.181596303
Sri Lanka ,2018,28.93715904,-0.06688549,,2.881924683,-0.019569523
Sudan ,2017,43.40902961,0,,7.116140504,0
Sudan ,2018,45.57517067,-2.16614106,,7.749915433,-0.633774929
Suriname ,2015,22.62455886,0,,1.03496845,0
Suriname ,2016,23.25416617,-0.62960731,,1.21918052,-0.18421207
Suriname ,2017,21.17230886,2.08185731,,0.61006554,0.60911498
Suriname ,2018,21.19443814,-0.02212928,,0.61654018,-0.00647464
Switzerland ,2015,26.17622782,0,,2.074124572,0
Switzerland ,2016,29.3044474,-3.12821958,,2.989386824,-0.915262251
Switzerland ,2017,29.94250414,-0.63805674,,3.176071049,-0.186684225
Switzerland ,2018,26.68996284,3.2525413,,2.22443444,0.951636609
Syrian Arab Republic ,2015,43.4966803,0,,7.14178556,0
Syrian Arab Republic ,2016,40.02275304,3.47392726,,6.125375298,1.016410262
Syrian Arab Republic ,2017,43.50430098,-3.48154794,,7.144015238,-1.01863994
Syrian Arab Republic ,2018,43.21677994,0.28752104,,7.059891618,0.08412362
Tajikistan ,2015,28.20242213,0,,2.666953534,0
Tajikistan ,2016,29.1905356,-0.98811347,,2.956058226,-0.289104692
Tajikistan ,2017,28.73214769,0.45838791,,2.821941954,0.134116273
Tajikistan ,2018,28.44204787,0.29009982,,2.737063828,0.084878126
Tanzania ,2015,39.05450087,0,,5.842081674,0
Tanzania ,2016,37.86221453,1.19228634,,5.493239577,0.348842097
Tanzania ,2017,38.42548671,-0.56327218,,5.65804315,-0.164803573
Tanzania ,2018,38.10656273,0.31892398,,5.56473158,0.09331157
Thailand ,2015,37.42822592,0,,5.366262112,0
Thailand ,2016,37.73008716,-0.30186124,,5.454581423,-0.088319311
Thailand ,2017,37.29823614,0.43185102,,5.328229379,0.126352044
Thailand ,2018,37.21550231,0.08273383,,5.30402291,0.024206469
Timor Leste ,2015,33.28034739,0,,4.152665514,0
Timor Leste ,2016,32.31228191,0.96806548,,3.869426512,0.283239002
Timor Leste ,2017,32.48314873,-0.17086682,,3.91941915,-0.049992638
Timor Leste ,2018,32.77690097,-0.29375224,,4.00536591,-0.08594676
Togo ,2015,31.19216603,0,,3.541700227,0
Togo ,2016,31.42586926,-0.23370323,,3.610077698,-0.068377471
Togo ,2017,33.12223395,-1.69636469,,4.106404291,-0.496326593
Togo ,2018,32.99496011,0.12727384,,4.069166195,0.037238096
Tunisia ,2015,28.51773129,0,,2.759207471,0
Tunisia ,2016,31.23703239,-2.7193011,,3.554827338,-0.795619867
Tunisia ,2017,27.94618304,3.29084935,,2.591982465,0.962844873
Tunisia ,2018,27.91809331,0.02808973,,2.583763902,0.008218563
Turkey ,2016,40.91939956,0,,6.387718363,0
Turkey ,2017,38.49804304,2.42135652,,5.679271861,0.708446502
Turkey ,2018,38.53406163,-0.03601859,,5.689810269,-0.010538408
Turkmenistan ,2015,21.54797539,0,,0.719978986,0
Turkmenistan ,2016,21.50104043,0.04693496,,0.706246639,0.013732347
Turkmenistan ,2017,20.92370383,0.5773366,,0.537328063,0.168918576
Turkmenistan ,2018,20.75614557,0.16755826,,0.488303451,0.049024612
Uganda ,2015,46.35340406,0,,7.97761289,0
Uganda ,2016,46.52657933,-0.17317527,,8.028280941,-0.05066805
Uganda ,2017,47.27989775,-0.75331842,,8.248688714,-0.220407774
Uganda ,2018,47.31251723,-0.03261948,,8.258232603,-0.009543888
Ukraine ,2015,40.74514209,0,,6.33673368,0
Ukraine ,2016,35.21524189,5.5299002,,4.71878175,1.61795193
Ukraine ,2017,34.55783527,0.65740662,,4.526436089,0.192345661
Ukraine ,2018,34.16915628,0.38867899,,4.412715425,0.113720664
United Arab Emirates ,2015,23.8187524,0,,1.384368561,0
United Arab Emirates ,2016,24.88326468,-1.06451228,,1.695826207,-0.311457646
United Arab Emirates ,2017,24.51408667,0.36917801,,1.587811188,0.108015019
United Arab Emirates ,2018,24.66763034,-0.15354367,,1.632735376,-0.044924188
United States ,2015,37.03914631,0,,5.252424233,0
United States ,2016,34.56249449,2.47665182,,4.527799295,0.724624938
United States ,2017,34.68140114,-0.11890665,,4.562589298,-0.034790003
United States ,2018,34.73350438,-0.05210324,,4.577833793,-0.015244495
Uruguay ,2015,28.61906114,0,,2.78885481,0
Uruguay ,2016,25.38702054,3.2320406,,1.843216347,0.945638463
Uruguay ,2017,27.35745547,-1.97043493,,2.419731091,-0.576514744
Uruguay ,2018,27.20567704,0.15177843,,2.375323381,0.04440771
Uzbekistan ,2015,25.97607542,0,,2.015563486,0
Uzbekistan ,2016,26.14748876,-0.17141334,,2.065716027,-0.050152541
Uzbekistan ,2017,25.55319582,0.59429294,,1.891836323,0.173879704
Uzbekistan ,2018,24.61183625,0.94135957,,1.616411003,0.27542532
Venezuela ,2015,33.56129926,0,,4.234867109,0
Venezuela ,2016,33.18946632,0.37183294,,4.126075304,0.108791805
Venezuela ,2017,28.21520081,4.97426551,,2.670692352,1.455382952
Venezuela ,2018,27.98503643,0.23016438,,2.603350286,0.067342066
Vietnam ,2015,31.58365421,0,,3.656242811,0
Vietnam ,2016,31.33169524,0.25195897,,3.58252403,0.073718781
Vietnam ,2017,30.93896037,0.39273487,,3.467616686,0.114907343
Vietnam ,2018,30.43983339,0.49912698,,3.321580875,0.146035811
Yemen ,2016,45.56746368,0,,7.747660503,0
Yemen ,2017,45.52128747,0.04617621,,7.734150153,0.01351035
Yemen ,2018,44.97335658,0.54793089,,7.573835172,0.16031498
Zambia ,2015,39.931904,0,,6.09879446,0
Zambia ,2016,30.09937187,9.83253213,,3.221967799,2.876826662
Zambia ,2017,35.5022171,-5.40284523,,4.80274567,-1.580777871
Zambia ,2018,35.17365644,0.32856066,,4.706614576,0.096131094
Zimbabwe ,2015,32.92669489,0,,4.049192987,0
Zimbabwe ,2016,31.26029802,1.66639687,,3.561634454,0.487558533
Zimbabwe ,2017,31.61635346,-0.35605544,,3.665810038,-0.104175585
Zimbabwe ,2018,32.48609663,-0.86974317,,3.920281654,-0.254471616
